Rep,Group,PopSpecies,PhenotypeSpecies,PhenotypeCageSpecies,PopNumber,X11.Feb,X12.Feb,X13.Feb,X14.Feb,X15.Feb,X16.Feb,X17.Feb,X18.Feb,X19.Feb,X20.Feb,numFlies
B3.BX,1,B,B,B,3,NA,NA,3,8,2,0,0,NA,NA,NA,13
B3.BY,1,B,B,B,3,NA,NA,1,2,2,0,0,NA,NA,NA,5
B3.MX,1,B,T,M,3,NA,NA,0,2,6,9,2,0,NA,NA,19
B3.MY,1,B,B,M,3,NA,1,2,2,0,0,0,NA,NA,NA,5
B3.TX,1,B,T,T,3,NA,NA,0,0,4,2,1,0,NA,NA,7
B3.TY,1,B,T,T,3,NA,NA,0,0,2,2,1,2,NA,NA,7
B4.BX,1,B,B,B,4,NA,NA,4,12,4,5,2,NA,NA,NA,27
B4.BY,1,B,B,B,4,NA,1,3,3,2,1,1,0,NA,NA,11
B4.MX,1,B,B,M,4,NA,NA,0,0,2,0,0,NA,NA,NA,2
B4.MY,1,B,B,M,4,NA,1,5,9,8,3,0,NA,NA,NA,26
B4.TX,1,B,T,T,4,NA,NA,0,0,0,2,3,0,NA,NA,5
B4.TY,1,B,T,T,4,NA,NA,0,0,0,0,0,2,NA,NA,2
M3.BX,1,M,B,B,3,NA,1,2,0,1,0,0,NA,NA,NA,4
M3.BY,1,M,B,B,3,NA,3,4,2,0,1,0,NA,NA,NA,10
M3.MX,1,M,T,M,3,NA,NA,0,0,3,7,6,3,1,NA,20
M3.MY,1,M,T,M,3,NA,NA,0,1,5,7,5,1,2,NA,21
M3.TX,1,M,T,T,3,NA,NA,0,1,3,5,4,0,1,NA,14
M3.TY,1,M,T,T,3,NA,NA,0,2,9,8,5,3,1,NA,28
M4.BX,1,M,B,B,4,NA,2,7,11,7,2,2,0,NA,NA,31
M4.BY,1,M,B,B,4,NA,3,7,12,0,1,0,NA,NA,NA,23
M4.MX,1,M,B,M,4,NA,1,0,0,2,0,1,NA,NA,NA,4
M4.MY,1,M,T,M,4,NA,NA,0,0,4,6,8,0,2,NA,20
M4.TX,1,M,T,T,4,NA,NA,0,0,1,6,3,0,2,NA,12
M4.TY,1,M,T,T,4,NA,NA,0,0,1,1,2,0,NA,NA,4
T3.BX,1,T,B,B,3,NA,NA,1,0,1,0,0,NA,NA,NA,2
T3.BY,1,T,B,B,3,NA,2,3,3,3,1,0,NA,NA,NA,12
T3.MX,1,T,T,M,3,NA,NA,0,0,3,8,3,0,NA,NA,14
T3.MY,1,T,T,M,3,NA,NA,0,0,8,5,9,5,2,1,30
