population,PlantSpecies,Rep,Generation,numFlies
B1.1,B,1,2,784
B1.2,B,1,2,1049
B2.1,B,2,2,800
B2.2,B,2,2,921
B3.1,B,3,2,748
B3.2,B,3,2,910
B4.1,B,4,2,680
B4.2,B,4,2,556
M1.1,M,1,2,802
M1.2,M,1,2,617
M2.1,M,2,2,631
M2.2,M,2,2,715
M3.1,M,3,2,847
M3.2,M,3,2,824
M4.1,M,4,2,869
M4.2,M,4,2,1291
T1.1,T,1,2,463
T1.2,T,1,2,495
T2.1,T,2,2,758
T2.2,T,2,2,789
T3.1,T,3,2,1125
T3.2,T,3,2,1750
T4.1,T,4,2,883
T4.2,T,4,2,1581
B1.1,B,1,3,834
B1.2,B,1,3,1069
B2.1,B,2,3,874
B2.2,B,2,3,800
B3.1,B,3,3,250
B3.2,B,3,3,233
B4.1,B,4,3,331
B4.2,B,4,3,400
M1.1,M,1,3,1309
M1.2,M,1,3,696
M2.1,M,2,3,1008
M2.2,M,2,3,988
M3.1,M,3,3,467
M3.2,M,3,3,287
M4.1,M,4,3,369
M4.2,M,4,3,335
T1.1,T,1,3,1158
T1.2,T,1,3,855
T2.1,T,2,3,1093
T2.2,T,2,3,789
T3.1,T,3,3,312
T3.2,T,3,3,366
T4.1,T,4,3,395
T4.2,T,4,3,308
B1,B,1,final,231
B2,B,2,final,442
B3,B,3,final,596
B4,B,4,final,640
M1,M,1,final,467
M2,M,2,final,269
M3,M,3,final,395
M4,M,4,final,352
T1,T,1,final,414
T2,T,2,final,586
T3,T,3,final,576
T4,T,4,final,635
