Rep,Group,PopSpecies,PhenotypeSpecies,PhenotypeCageSpecies,PopNumber,numFlies,rep2,rep,trays,maxFlies,meanFlies,normFlies,date,val,date2,line
B3.BX,1,Barbarea,B,Tested on Barbarea,3,13,B3,X,6,8,2.6,2.16666666666667,X11.Feb,NA,11.Feb,B3.BX 1
B3.BY,1,Barbarea,B,Tested on Barbarea,3,5,B3,Y,5,2,1,1,X11.Feb,NA,11.Feb,B3.BY 1
B3.MX,1,Barbarea,T,Tested on Mixture,3,19,B3,X,6,9,3.16666666666667,3.16666666666667,X11.Feb,NA,11.Feb,B3.MX 1
B3.MY,1,Barbarea,B,Tested on Mixture,3,5,B3,Y,6,2,0.833333333333333,0.833333333333333,X11.Feb,NA,11.Feb,B3.MY 1
B3.TX,1,Barbarea,T,Tested on Turritus,3,7,B3,X,5,4,1.16666666666667,1.4,X11.Feb,NA,11.Feb,B3.TX 1
B3.TY,1,Barbarea,T,Tested on Turritus,3,7,B3,Y,5,2,1.16666666666667,1.4,X11.Feb,NA,11.Feb,B3.TY 1
B4.BX,1,Barbarea,B,Tested on Barbarea,4,27,B4,X,6,12,5.4,4.5,X11.Feb,NA,11.Feb,B4.BX 1
B4.BY,1,Barbarea,B,Tested on Barbarea,4,11,B4,Y,6,3,1.57142857142857,1.83333333333333,X11.Feb,NA,11.Feb,B4.BY 1
B4.MX,1,Barbarea,B,Tested on Mixture,4,2,B4,X,6,2,0.4,0.333333333333333,X11.Feb,NA,11.Feb,B4.MX 1
B4.MY,1,Barbarea,B,Tested on Mixture,4,26,B4,Y,5,9,4.33333333333333,5.2,X11.Feb,NA,11.Feb,B4.MY 1
B4.TX,1,Barbarea,T,Tested on Turritus,4,5,B4,X,6,3,0.833333333333333,0.833333333333333,X11.Feb,NA,11.Feb,B4.TX 1
B4.TY,1,Barbarea,T,Tested on Turritus,4,2,B4,Y,6,2,0.333333333333333,0.333333333333333,X11.Feb,NA,11.Feb,B4.TY 1
M3.BX,1,Mixture,B,Tested on Barbarea,3,4,M3,X,5,2,0.666666666666667,0.8,X11.Feb,NA,11.Feb,M3.BX 1
M3.BY,1,Mixture,B,Tested on Barbarea,3,10,M3,Y,6,4,1.66666666666667,1.66666666666667,X11.Feb,NA,11.Feb,M3.BY 1
M3.MX,1,Mixture,T,Tested on Mixture,3,20,M3,X,4,7,2.85714285714286,5,X11.Feb,NA,11.Feb,M3.MX 1
M3.MY,1,Mixture,T,Tested on Mixture,3,21,M3,Y,3,7,3,7,X11.Feb,NA,11.Feb,M3.MY 1
M3.TX,1,Mixture,T,Tested on Turritus,3,14,M3,X,6,5,2,2.33333333333333,X11.Feb,NA,11.Feb,M3.TX 1
M3.TY,1,Mixture,T,Tested on Turritus,3,28,M3,Y,5,9,4,5.6,X11.Feb,NA,11.Feb,M3.TY 1
M4.BX,1,Mixture,B,Tested on Barbarea,4,31,M4,X,5,11,4.42857142857143,6.2,X11.Feb,NA,11.Feb,M4.BX 1
M4.BY,1,Mixture,B,Tested on Barbarea,4,23,M4,Y,6,12,3.83333333333333,3.83333333333333,X11.Feb,NA,11.Feb,M4.BY 1
M4.MX,1,Mixture,B,Tested on Mixture,4,4,M4,X,5,2,0.666666666666667,0.8,X11.Feb,NA,11.Feb,M4.MX 1
M4.MY,1,Mixture,T,Tested on Mixture,4,20,M4,Y,5,8,2.85714285714286,4,X11.Feb,NA,11.Feb,M4.MY 1
M4.TX,1,Mixture,T,Tested on Turritus,4,12,M4,X,5,6,1.71428571428571,2.4,X11.Feb,NA,11.Feb,M4.TX 1
M4.TY,1,Mixture,T,Tested on Turritus,4,4,M4,Y,6,2,0.666666666666667,0.666666666666667,X11.Feb,NA,11.Feb,M4.TY 1
T3.BX,1,Turritus,B,Tested on Barbarea,3,2,T3,X,6,1,0.4,0.333333333333333,X11.Feb,NA,11.Feb,T3.BX 1
T3.BY,1,Turritus,B,Tested on Barbarea,3,12,T3,Y,6,3,2,2,X11.Feb,NA,11.Feb,T3.BY 1
T3.MX,1,Turritus,T,Tested on Mixture,3,14,T3,X,6,8,2.33333333333333,2.33333333333333,X11.Feb,NA,11.Feb,T3.MX 1
T3.MY,1,Turritus,T,Tested on Mixture,3,30,T3,Y,6,9,3.75,5,X11.Feb,NA,11.Feb,T3.MY 1
T3.TX,1,Turritus,T,Tested on Turritus,3,9,T3,X,6,4,1.28571428571429,1.5,X11.Feb,NA,11.Feb,T3.TX 1
T3.TY,1,Turritus,T,Tested on Turritus,3,22,T3,Y,6,7,3.66666666666667,3.66666666666667,X11.Feb,NA,11.Feb,T3.TY 1
T4.BX,1,Turritus,B,Tested on Barbarea,4,23,T4,X,6,12,3.83333333333333,3.83333333333333,X11.Feb,NA,11.Feb,T4.BX 1
T4.BY,1,Turritus,B,Tested on Barbarea,4,11,T4,Y,6,4,1.83333333333333,1.83333333333333,X11.Feb,NA,11.Feb,T4.BY 1
T4.MX,1,Turritus,B,Tested on Mixture,4,19,T4,X,6,11,3.16666666666667,3.16666666666667,X11.Feb,NA,11.Feb,T4.MX 1
T4.MY,1,Turritus,B,Tested on Mixture,4,4,T4,Y,6,2,0.8,0.666666666666667,X11.Feb,NA,11.Feb,T4.MY 1
T4.TX,1,Turritus,T,Tested on Turritus,4,40,T4,X,6,18,5.71428571428571,6.66666666666667,X11.Feb,NA,11.Feb,T4.TX 1
T4.TY,1,Turritus,T,Tested on Turritus,4,17,T4,Y,6,9,2.83333333333333,2.83333333333333,X11.Feb,NA,11.Feb,T4.TY 1
B3.BX,2,Barbarea,B,Tested on Barbarea,3,29,B3,X,6,15,4.83333333333333,4.83333333333333,X11.Feb,NA,11.Feb,B3.BX 2
B3.BY,2,Barbarea,B,Tested on Barbarea,3,24,B3,Y,5,6,3.42857142857143,4.8,X11.Feb,NA,11.Feb,B3.BY 2
B3.MX,2,Barbarea,B,Tested on Mixture,3,12,B3,X,6,4,2,2,X11.Feb,NA,11.Feb,B3.MX 2
B3.MY,2,Barbarea,T,Tested on Mixture,3,28,B3,Y,6,9,4,4.66666666666667,X11.Feb,NA,11.Feb,B3.MY 2
B3.TX,2,Barbarea,T,Tested on Turritus,3,28,B3,X,5,8,4,5.6,X11.Feb,NA,11.Feb,B3.TX 2
B3.TY,2,Barbarea,T,Tested on Turritus,3,30,B3,Y,5,14,4.28571428571429,6,X11.Feb,NA,11.Feb,B3.TY 2
B4.BX,2,Barbarea,B,Tested on Barbarea,4,20,B4,X,6,13,3.33333333333333,3.33333333333333,X11.Feb,NA,11.Feb,B4.BX 2
B4.BY,2,Barbarea,B,Tested on Barbarea,4,18,B4,Y,6,10,3,3,X11.Feb,NA,11.Feb,B4.BY 2
B4.MX,2,Barbarea,T,Tested on Mixture,4,4,B4,X,6,3,0.571428571428571,0.666666666666667,X11.Feb,NA,11.Feb,B4.MX 2
B4.MY,2,Barbarea,T,Tested on Mixture,4,27,B4,Y,5,8,3.85714285714286,5.4,X11.Feb,NA,11.Feb,B4.MY 2
B4.TX,2,Barbarea,T,Tested on Turritus,4,14,B4,X,6,4,2.33333333333333,2.33333333333333,X11.Feb,NA,11.Feb,B4.TX 2
B4.TY,2,Barbarea,T,Tested on Turritus,4,4,B4,Y,6,2,0.666666666666667,0.666666666666667,X11.Feb,NA,11.Feb,B4.TY 2
M3.BY,2,Mixture,B,Tested on Barbarea,3,19,M3,Y,6,12,3.16666666666667,3.16666666666667,X11.Feb,NA,11.Feb,M3.BY 2
M3.MX,2,Mixture,B,Tested on Mixture,3,11,M3,X,4,6,1.83333333333333,2.75,X11.Feb,NA,11.Feb,M3.MX 2
M3.MY,2,Mixture,B,Tested on Mixture,3,2,M3,Y,3,1,0.4,0.666666666666667,X11.Feb,NA,11.Feb,M3.MY 2
M3.TX,2,Mixture,T,Tested on Turritus,3,6,M3,X,6,5,1,1,X11.Feb,NA,11.Feb,M3.TX 2
M4.BX,2,Mixture,B,Tested on Barbarea,4,14,M4,X,5,6,2.33333333333333,2.8,X11.Feb,NA,11.Feb,M4.BX 2
M4.BY,2,Mixture,B,Tested on Barbarea,4,2,M4,Y,6,1,0.333333333333333,0.333333333333333,X11.Feb,1,11.Feb,M4.BY 2
M4.MX,2,Mixture,T,Tested on Mixture,4,32,M4,X,5,12,4.57142857142857,6.4,X11.Feb,NA,11.Feb,M4.MX 2
M4.MY,2,Mixture,B,Tested on Mixture,4,4,M4,Y,5,3,0.8,0.8,X11.Feb,NA,11.Feb,M4.MY 2
M4.TX,2,Mixture,T,Tested on Turritus,4,15,M4,X,5,3,1.66666666666667,3,X11.Feb,NA,11.Feb,M4.TX 2
M4.TY,2,Mixture,T,Tested on Turritus,4,2,M4,Y,6,2,0.333333333333333,0.333333333333333,X11.Feb,NA,11.Feb,M4.TY 2
T3.BX,2,Turritus,B,Tested on Barbarea,3,2,T3,X,6,1,0.4,0.333333333333333,X11.Feb,NA,11.Feb,T3.BX 2
T3.BY,2,Turritus,B,Tested on Barbarea,3,28,T3,Y,6,10,3.5,4.66666666666667,X11.Feb,NA,11.Feb,T3.BY 2
T3.MX,2,Turritus,B,Tested on Mixture,3,17,T3,X,6,7,2.125,2.83333333333333,X11.Feb,NA,11.Feb,T3.MX 2
T3.MY,2,Turritus,B,Tested on Mixture,3,5,T3,Y,6,2,0.833333333333333,0.833333333333333,X11.Feb,NA,11.Feb,T3.MY 2
T3.TX,2,Turritus,T,Tested on Turritus,3,14,T3,X,6,6,2.33333333333333,2.33333333333333,X11.Feb,NA,11.Feb,T3.TX 2
T3.TY,2,Turritus,T,Tested on Turritus,3,10,T3,Y,6,4,1.25,1.66666666666667,X11.Feb,NA,11.Feb,T3.TY 2
T4.BX,2,Turritus,B,Tested on Barbarea,4,11,T4,X,6,5,1.83333333333333,1.83333333333333,X11.Feb,NA,11.Feb,T4.BX 2
T4.BY,2,Turritus,B,Tested on Barbarea,4,34,T4,Y,6,14,4.85714285714286,5.66666666666667,X11.Feb,NA,11.Feb,T4.BY 2
T4.MX,2,Turritus,T,Tested on Mixture,4,15,T4,X,6,6,2.5,2.5,X11.Feb,NA,11.Feb,T4.MX 2
T4.MY,2,Turritus,T,Tested on Mixture,4,11,T4,Y,6,10,1.83333333333333,1.83333333333333,X11.Feb,NA,11.Feb,T4.MY 2
T4.TX,2,Turritus,T,Tested on Turritus,4,6,T4,X,6,2,0.857142857142857,1,X11.Feb,NA,11.Feb,T4.TX 2
T4.TY,2,Turritus,T,Tested on Turritus,4,6,T4,Y,6,3,1,1,X11.Feb,NA,11.Feb,T4.TY 2
B3.BX,3,Barbarea,B,Tested on Barbarea,3,11,B3,X,6,5,1.83333333333333,1.83333333333333,X11.Feb,NA,11.Feb,B3.BX 3
B3.MX,3,Barbarea,T,Tested on Mixture,3,13,B3,X,6,6,1.85714285714286,2.16666666666667,X11.Feb,NA,11.Feb,B3.MX 3
B3.MY,3,Barbarea,B,Tested on Mixture,3,8,B3,Y,6,5,1.6,1.33333333333333,X11.Feb,NA,11.Feb,B3.MY 3
B3.TX,3,Barbarea,T,Tested on Turritus,3,9,B3,X,5,3,1.5,1.8,X11.Feb,NA,11.Feb,B3.TX 3
B3.TY,3,Barbarea,T,Tested on Turritus,3,7,B3,Y,5,3,1.16666666666667,1.4,X11.Feb,NA,11.Feb,B3.TY 3
B4.BX,3,Barbarea,B,Tested on Barbarea,4,21,B4,X,6,15,4.2,3.5,X11.Feb,NA,11.Feb,B4.BX 3
B4.BY,3,Barbarea,B,Tested on Barbarea,4,13,B4,Y,6,10,2.6,2.16666666666667,X11.Feb,NA,11.Feb,B4.BY 3
B4.MX,3,Barbarea,B,Tested on Mixture,4,17,B4,X,6,8,3.4,2.83333333333333,X11.Feb,NA,11.Feb,B4.MX 3
