sample,gen,trt,pop
B1G01,1,B,1
B2G01,1,B,2
B3G01,1,B,3
B4G01,1,B,4
B1G02,2,B,1
B2G02,2,B,2
B3G02,2,B,3
B4G02,2,B,4
B1G03,3,B,1
B2G03,3,B,2
B3G03,3,B,3
B4G03,3,B,4
B1G04,4,B,1
B2G04,4,B,2
B3G04,4,B,3
B4G04,4,B,4
B1G05,5,B,1
B2G05,5,B,2
B3G05,5,B,3
B4G05,5,B,4
B1G06,6,B,1
B2G06,6,B,2
B3G06,6,B,3
B4G06,6,B,4
B1G07,7,B,1
B2G07,7,B,2
B3G07,7,B,3
B4G07,7,B,4
B1G08,8,B,1
B2G08,8,B,2
B3G08,8,B,3
B4G08,8,B,4
B1G09,9,B,1
B2G09,9,B,2
B3G09,9,B,3
B4G09,9,B,4
B1G10,10,B,1
B2G10,10,B,2
B3G10,10,B,3
B4G10,10,B,4
T1G01,1,T,1
T2G01,1,T,2
T3G01,1,T,3
T4G01,1,T,4
T1G02,2,T,1
T2G02,2,T,2
T3G02,2,T,3
T4G02,2,T,4
T1G03,3,T,1
T2G03,3,T,2
T3G03,3,T,3
T4G03,3,T,4
T1G04,4,T,1
T2G04,4,T,2
T3G04,4,T,3
T4G04,4,T,4
T1G05,5,T,1
T2G05,5,T,2
T3G05,5,T,3
T4G05,5,T,4
T1G06,6,T,1
T2G06,6,T,2
T3G06,6,T,3
T4G06,6,T,4
T1G07,7,T,1
T2G07,7,T,2
T3G07,7,T,3
T4G07,7,T,4
T1G08,8,T,1
T2G08,8,T,2
T3G08,8,T,3
T4G08,8,T,4
T1G09,9,T,1
T2G09,9,T,2
T3G09,9,T,3
T4G09,9,T,4
T1G10,10,T,1
T2G10,10,T,2
T3G10,10,T,3
T4G10,10,T,4
M1G01,1,M,1
M2G01,1,M,2
M3G01,1,M,3
M4G01,1,M,4
M1G02,2,M,1
M2G02,2,M,2
M3G02,2,M,3
M4G02,2,M,4
M1G03,3,M,1
M2G03,3,M,2
M3G03,3,M,3
M4G03,3,M,4
M1G04,4,M,1
M2G04,4,M,2
M3G04,4,M,3
M4G04,4,M,4
M1G05,5,M,1
M2G05,5,M,2
M3G05,5,M,3
M4G05,5,M,4
M1G06,6,M,1
M2G06,6,M,2
M3G06,6,M,3
M4G06,6,M,4
M1G07,7,M,1
M2G07,7,M,2
M3G07,7,M,3
M4G07,7,M,4
M1G08,8,M,1
M2G08,8,M,2
M3G08,8,M,3
M4G08,8,M,4
M1G09,9,M,1
M2G09,9,M,2
M3G09,9,M,3
M4G09,9,M,4
M1G10,10,M,1
M2G10,10,M,2
M3G10,10,M,3
M4G10,10,M,4
F1G00,0,F,1
F2G00,0,F,2
F3G00,0,F,3
F4G00,0,F,4
PSB,0,B,1
RMB,0,B,2
AVB,0,B,3
PST,0,T,1
RMT,0,T,2
AVT,0,T,3
