sample	unit	platform	fq1	fq2
AVB	1	-	PATH/TO/DATA/data/scaptomyza_flava_reads/reads_expt_evol_UCB/AVB_S400_L005_R1_001.fastq.gz	PATH/TO/DATA/data/scaptomyza_flava_reads/reads_expt_evol_UCB/AVB_S400_L005_R2_001.fastq.gz
AVB	2	-	PATH/TO/DATA/data/scaptomyza_flava_reads/reads_expt_evol_UCB/AVB_S400_L006_R1_001.fastq.gz	PATH/TO/DATA/data/scaptomyza_flava_reads/reads_expt_evol_UCB/AVB_S400_L006_R2_001.fastq.gz
AVB	3	-	PATH/TO/DATA/data/scaptomyza_flava_reads/reads_expt_evol_UCB/AVB_S400_L007_R1_001.fastq.gz	PATH/TO/DATA/data/scaptomyza_flava_reads/reads_expt_evol_UCB/AVB_S400_L007_R2_001.fastq.gz
AVB	4	-	PATH/TO/DATA/data/scaptomyza_flava_reads/reads_expt_evol_UCB/AVB_S400_L008_R1_001.fastq.gz	PATH/TO/DATA/data/scaptomyza_flava_reads/reads_expt_evol_UCB/AVB_S400_L008_R2_001.fastq.gz
AVB	5	-	PATH/TO/DATA/data/scaptomyza_flava_reads/reads_expt_evol_UofA/B-AVB_ATCACG_L001_R1_001.fastq.gz	PATH/TO/DATA/data/scaptomyza_flava_reads/reads_expt_evol_UofA/B-AVB_ATCACG_L001_R2_001.fastq.gz
AVB	6	-	PATH/TO/DATA/data/scaptomyza_flava_reads/reads_expt_evol_UofA/B-AVB_ATCACG_L001_R1_002.fastq.gz	PATH/TO/DATA/data/scaptomyza_flava_reads/reads_expt_evol_UofA/B-AVB_ATCACG_L001_R2_002.fastq.gz
AVB	7	-	PATH/TO/DATA/data/scaptomyza_flava_reads/reads_expt_evol_UofA/B-AVB_ATCACG_L001_R1_003.fastq.gz	PATH/TO/DATA/data/scaptomyza_flava_reads/reads_expt_evol_UofA/B-AVB_ATCACG_L001_R2_003.fastq.gz
AVB	8	-	PATH/TO/DATA/data/scaptomyza_flava_reads/reads_expt_evol_UofA/B-AVB_ATCACG_L001_R1_004.fastq.gz	PATH/TO/DATA/data/scaptomyza_flava_reads/reads_expt_evol_UofA/B-AVB_ATCACG_L001_R2_004.fastq.gz
AVB	9	-	PATH/TO/DATA/data/scaptomyza_flava_reads/reads_expt_evol_UofA/B-AVB_ATCACG_L001_R1_005.fastq.gz	PATH/TO/DATA/data/scaptomyza_flava_reads/reads_expt_evol_UofA/B-AVB_ATCACG_L001_R2_005.fastq.gz
AVB	10	-	PATH/TO/DATA/data/scaptomyza_flava_reads/reads_expt_evol_UofA/B-AVB_ATCACG_L001_R1_006.fastq.gz	PATH/TO/DATA/data/scaptomyza_flava_reads/reads_expt_evol_UofA/B-AVB_ATCACG_L001_R2_006.fastq.gz
